Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Type (SHARE_HOST_SITE, FARMERS_MARKET, FOOD_CUPBOARD, SENIOR_MEAL, SOUP_KITCHEN, or WIC_OFFICE) ",Name,Address - Line 1 ,Address - Line 2 (optional),City,State,Zip Code,Phone Number (optional),Website (optional),Description (optional),Families and children? (either ÔYesÕ or leave blank),Seniors? (either ÔYesÕ or leave blank),Wheelchair accessible? (either ÔYesÕ or leave blank),Accepts SNAP? (either ÔYesÕ or leave blank),Accepts FMNP Vouchers? (either ÔYesÕ or leave blank),Accepts Philly Food Bucks? (either ÔYesÕ or leave blank),Hours Available? (either ÔYesÕ or leave blank),Open Sunday? (either ÔYesÕ or leave blank),Open Monday? (either ÔYesÕ or leave blank),Open Tuesday? (either ÔYesÕ or leave blank),Open Wednesday? (either ÔYesÕ or leave blank),Open Thursday? (either ÔYesÕ or leave blank),Open Friday? (either ÔYesÕ or leave blank),Open Saturday? (either ÔYesÕ or leave blank),Sunday Opening Time (either ÔYesÕ or leave blank),Sunday Closing Time (either ÔYesÕ or leave blank),"Monday Opening Time (military time - e.g., 8:00 or 17:00)","Monday Closing Time (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time (military time - e.g., 8:00 or 17:00)","Thursday Opening Time (military time - e.g., 8:00 or 17:00)","Thursday Closing Time (military time - e.g., 8:00 or 17:00)","Friday Opening Time (military time - e.g., 8:00 or 17:00)","Friday Closing Time (military time - e.g., 8:00 or 17:00)","Saturday Opening Time (military time - e.g., 8:00 or 17:00)","Saturday Closing Time (military time - e.g., 8:00 or 17:00)"
28,SHARE_HOST_SITE,Haddington Multiservices for Older Adults,5331-41 Haverford Ave,,Philadelphia,PA,19139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SHARE_HOST_SITE,Holy Grounds Bethel Deliverance Church,1426 S. 23rd St,,Philadelphia,PA,19146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SHARE_HOST_SITE,Institute of African-Centered Education,2741 W. Silver St,,Philadelphia,PA,19132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SHARE_HOST_SITE,Ionic Lodge #112,4505 N. Gratz St,,Philadelphia,PA,19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SHARE_HOST_SITE,Jesus Christ in Power Ministries,1980 Church Ln,,Philadelphia,PA,19141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SHARE_HOST_SITE,Johnson Homes Tenant Council,2630 Norris Dr,D,Philadelphia,PA,19121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SHARE_HOST_SITE,Jones Tabernacle AME Church,2021 W. Diamond St,,Philadelphia,PA,19121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SHARE_HOST_SITE,Journey of Faith UMC,6340 Baynton St,,Philadelphia,PA,19144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SHARE_HOST_SITE,Kensington Neighbors United Civic Association,2837 Amber St,,Philadelphia,PA,19134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SHARE_HOST_SITE,Kidney Sisters,6423 Hashbrook Ave,,Philadelphia,PA,19111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SHARE_HOST_SITE,Living Waters United Church of God,6250 Loretta St,,Philadelphia,PA,19111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SHARE_HOST_SITE,Mainstream,5070 Parkside Ave,,Philadelphia,PA,19131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SHARE_HOST_SITE,Mantua Tenant Council Scattered Sites,3804 Mount Vernon St,,Philadelphia,PA,19104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SHARE_HOST_SITE,Maribel Delgado,616 E. Carver St,,Philadelphia,PA,19120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SHARE_HOST_SITE,Mesha Church of Deliverance,26 S. 57th St,,Philadelphia,PA,19139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SHARE_HOST_SITE,Michele Johnson Share,5511 Webster St,,Philadelphia,PA,19143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SHARE_HOST_SITE,Mission Church of Christ,114-116 W. Ontario St,,Philadelphia,PA,19104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SHARE_HOST_SITE,Mount Calvary Pentocostal Church,2524 N. Broad St,,Philadelphia,PA,19132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SHARE_HOST_SITE,Mt. Airy Church of God,6401 Ogontz Ave,,Philadelphia,PA,19126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SHARE_HOST_SITE,Mt. Carmel Baptist Church,5736 Race St,,Philadelphia,PA,19139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SHARE_HOST_SITE,Mt. Ephraim Baptist Church,2201 W. Tioga St,,Philadelphia,PA,19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SHARE_HOST_SITE,New Beginnings,5049 Diamond St,,Philadelphia,PA,19131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SHARE_HOST_SITE,New Creature Baptist Church,1313 Sellers St,,Philadelphia,PA,19124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SHARE_HOST_SITE,New Kingdom Baptist Church,2447 N. Mascher St,,Philadelphia,PA,19133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SHARE_HOST_SITE,New Mercy Ministries,1247 N. 52nd St,,Philadelphia,PA,19131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SHARE_HOST_SITE,Paradise Emmanuel Church,4704 Woodland Ave,,Philadelphia,PA,19143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,SHARE_HOST_SITE,Powelton Heights, 4113-43 Warren St,Apt 104,Philadelphia,PA,19104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SHARE_HOST_SITE,Prince Hall Masons,4301 N. Broad St,,Philadelphia,PA,19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SHARE_HOST_SITE,Rags to Riches CDC,630 S. 60th St,,Philadelphia,PA,19143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SHARE_HOST_SITE,Resources 4 U,1634 Wharton St,,Philadelphia,PA,19146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SHARE_HOST_SITE,Reunification Transportation,4414 Germantown Ave,,Philadelphia,PA,19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,SHARE_HOST_SITE,Room to Grow Development Center,506 Oak Lane Ave,,Philadelphia,PA,19126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,SHARE_HOST_SITE,Saves by Grace Worship Center,3064 Kensington Ave,,Philadelphia,PA,19134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,SHARE_HOST_SITE,Schekinah Ministries Church,6001 Colgate St,,Philadelphia,PA,19135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,SHARE_HOST_SITE,Second Antioch  Baptist,912 N. 41st St,,Philadelphia,PA,19104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SHARE_HOST_SITE,Second Pilgrim Baptist Church,854-60 N. 15th St,,Philadelphia,PA,19130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,SHARE_HOST_SITE,SHARE Center,2901 W. Hunting Park Ave,,Philadelphia,PA,19129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,SHARE_HOST_SITE,South West CDC,58th Kingsessing Ave,,Philadelphia,PA,19143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,SHARE_HOST_SITE,Sunday Suppers,2901W. Hunting Park Ave,,Philadelphia,PA,19129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,SHARE_HOST_SITE,Temple of Love and Praise,1539 N. 26th St,,Philadelphia,PA,19121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,SHARE_HOST_SITE,Trinity Lutheran Church - Social Ministry,19 W. Queen Lane St,,Philadelphia,PA,19144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,SHARE_HOST_SITE,Vine Memorial Church,5600 W. Girard Ave,,Philadelphia,PA,19131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,SHARE_HOST_SITE,Whole Armour Outreach,1617 Woodbrook Ln,,Philadelphia,PA,19150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,SHARE_HOST_SITE,Woodstock 21 Inc.,2119 N. Woodstock St,,Philadelphia,PA,19121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SENIOR_MEALS,CSS Norris Square Senior Citizen Center,2121 N. Howard St,,Philadelphia,PA,19122,215-423-7241,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SENIOR_MEALS,CSS St. Anne's Senior Citizen Center,2607 E. Cumberland St,,Philadelphia,PA,19125,215-423-2772,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
74,SENIOR_MEALS,King Older Adult Center,2101 W. Cecil B. Moore Ave,,Philadelphia,PA,19121,215-685-2716,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
75,SENIOR_MEALS,Lehigh Senior Center,1701 W. Lehigh Ave,Pavilion Building #6,Philadelphia,PA,19132,215-226-0761,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
76,SENIOR_MEALS,Lutheran Settlement House Senior Center,1340 Frankford Ave,,Philadelphia,PA,19125,"215-426-8610, ext 202",,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
77,SENIOR_MEALS,Mann Older Adult Center,3201 N. 5th St,,Philadelphia,PA,19140,215-685-9844,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
78,SENIOR_MEALS,Nationalities Senior Program,11th St and Rockland St,,Philadelphia,PA,19141,215-324-7554,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
79,SENIOR_MEALS,North Broad Street Senior Center,1438 N. Broad St,,Philadelphia,PA,19121,215-978-1300,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
80,SENIOR_MEALS,On Lok House,219 N. 10th St,,Philadelphia,PA,19107,215-599-3016,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
81,SENIOR_MEALS,Philadelphia Senior Center,1531 W. Tioga St,,Philadelphia,PA,19140,215-227-9999,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
82,SENIOR_MEALS,Spring Garden Center,1221 Spring Garden St,,Philadelphia,PA,19123,215-787-2944,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
83,SENIOR_MEALS,Center in the Park,5818 Germantown Ave,,Philadelphia,PA,19144,215-848-7722,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
84,SENIOR_MEALS,The Center at Journey's Way,403 Rector St,,Philadelphia,PA,19128,215-487-1750,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
85,SENIOR_MEALS,Olney Senior Program,5900 N. 5th St,,Philadelphia,PA,19120,215-424-4807,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
86,SENIOR_MEALS,PHA Emlen Arms Satellite,6733 Emlen St,,Philadelphia,PA,19119,215-684-5892,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
87,SENIOR_MEALS,West Oak Lane Senior Center,7210-18 Ogontz Ave,,Philadelphia,PA,19138,215-685-3511,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
88,SENIOR_MEALS,Klein Jcc & Russian Satellite,10100 Jamison Ave,,Philadelphia,PA,19116,215-698-7300,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
89,SENIOR_MEALS,Tabas House Satellite JCC,2101 Strahle St,,Philadelphia,PA,19152,215-745-3127,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
90,SENIOR_MEALS,Juniata Park Older Adult Center,1251 Sedgley Ave,,Philadelphia,PA,19152,215-685-1490,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
91,SENIOR_MEALS,Northeast Older Adult Center,8101 Bustleton Ave,,Philadelphia,PA,19152,215-685-0576,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
92,SENIOR_MEALS,Peter Bressi Northeast Senior Center,4744-46 Frankford Ave,,Philadelphia,PA,19124,215-831-2926,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
93,SENIOR_MEALS,"Haddington Multi-Services for Older Adults, Inc.",5331-41 Haverford Ave,,Philadelphia,PA,19139,215-472-6600,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
94,SENIOR_MEALS,Older Adult Sunshine Center,137 S. 58th St,,Philadelphia,PA,19139,215-472-6188,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
95,SENIOR_MEALS,West Philadelphia Senior Community Center,1016-26 N. 41st St,,Philadelphia,PA,19104,215-386-0379,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
96,SENIOR_MEALS,CSS St. Charles Senior Community Center,1941 Christian St,,Philadelphia,PA,19146,215-790-9530,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
97,SENIOR_MEALS,Marconi Older Adult Center,2433 S. 15th St,,Philadelphia,PA,19145,215-218-0800,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
98,SENIOR_MEALS,PHA Cassie L. Holly Apartments Satellite,2100 Dickinson St,,Philadelphia,PA,19146,215-684-4891,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
99,SENIOR_MEALS,PHA Wilson Park Satellite,2508 Jackson St,,Philadelphia,PA,19145,215-684-4895,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
100,SENIOR_MEALS,Philadelphia Senior Center - Coffee Cup Satellite and Asian-Pacific Senior Resource Center,247 S. 10th St,,Philadelphia,PA,19107,215-627-8048,,Dinner served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
101,SENIOR_MEALS,Philadelphia Senior Center,509 S. Broad St,,Philadelphia,PA,19147,215-546-5879,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
102,SENIOR_MEALS,South Philadelphia Older Adult Center,1430 E. Passyunk Ave,,Philadelphia,PA,19147,215-685-1697,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
103,SENIOR_MEALS,CSS Star Harbor Senior Citizen Center,4700 Springfield Ave,,Philadelphia,PA,19143,215-726-7468,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
104,SENIOR_MEALS,Southwest Senior Center,6916 Elmwood Ave,,Philadelphia,PA,19142,215-937-1880,,Lunch served,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
105,FARMERS_MARKET,Greensgrow Farm Stand,2501 E. Cumberland Ave,,Philadelphia,PA,19125,,,"Sat: Open year round, 
Thurs: Open May to November",,,,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,,,,,15:00,19:00,,,10:00,15:00
106,FARMERS_MARKET,Rittenhouse,18th St and Walnut St,,Philadelphia,PA,19103,,,"Sat: Open year round
Tues - June 3rd ",,,,Yes,Yes,,Yes,,,Yes,,,,Yes,,,,,10:00,13:00,,,,,,,9:00,15:00
107,FARMERS_MARKET,Broad and South,Broad St and South St,,Philadelphia,PA,19147,,,Open May 21st  to Thanksgiving,,,,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,14:00,18:00,,,,,,
108,FARMERS_MARKET,Schuylkill River Park,25th St and Spruce St,,Philadelphia,PA,19103,,,Open May 14th to end of October,,,,,Yes,,Yes,,,,Yes,,,,,,,,,,15:00,19:00,,,,,,
109,FARMERS_MARKET,Fairmount,22nd St and Fairmount Ave,,Philadelphia,PA,19130,,,Open May 1st to Thanksgiving,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,15:00,19:00,,,,
110,FARMERS_MARKET,Suburban Station,16th St and JFK Blvd,,Philadelphia,PA,19103,,,Open Mid-June to November,,,,,Yes,,Yes,,,,Yes,,,,,,,,,,12:00,18:30,,,,,,
111,FARMERS_MARKET,Jefferson,10th St and Chestnut St,,Philadelphia,PA,19107,,,Open May 22nd to end of October,,,,Yes,Yes,,Yes,,,,,Yes,,,,,,,,,,,11:00,15:30,,,,
112,FARMERS_MARKET,Fitler Square Park,23rd St nd Pine St,,Philadelphia,PA,19103,,,Open year round,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,9:00,14:00
113,FARMERS_MARKET,Headhouse,2nd St and Lombard St,,Philadelphia,PA,19147,,,Open May 4th to Thanksgiving,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,10:00,14:00,,,,,,,,,,,,
114,FARMERS_MARKET,Federal Building ,20 N. 6th St,,Philadelphia,PA,19106,,,"Open Jun 5th to October
Courtyard in front of GSA Building",,,,Yes,,,Yes,,,,,Yes,,,10:00,14:00,,,,,,,,,,,,
115,FARMERS_MARKET,Reading Terminal Market,12th St and Arch St,,Philadelphia,PA,19107,,,Open year round,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9:00,17:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00
116,FARMERS_MARKET,Fair Food Farmstand,51 N. 12th St,Reading Terminal Market,Philadelphia,PA,19107,,,Open year round,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9:00,17:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00
117,FARMERS_MARKET,SEPTA farm stand,1234 Market St,,Philadelphia,PA,19107,,,"Open June to October
Concourse level",,,,,,,Yes,,,,Yes,,,,,,,,,,11:00,13:30,,,,,,
118,FARMERS_MARKET,N. 3rd St Market,Church St and 3rd St,,Philadelphia,PA,19106,,,Open May 20th to November 25th ,,,,,,,Yes,,,Yes,,,,,,,,,14:00,19:00,,,,,,,,
119,FARMERS_MARKET,Parkway,16th St and Benjamin Franklin Pkwy,,Philadelphia,PA,19103,,,"Open June to November
In front of Cafe Crete",,,,Yes,Yes,,Yes,,,,,Yes,,,,,,,,,,,11:00,18:00,,,,
120,FARMERS_MARKET,Chew and E. Pleasant,Chew Ave and E. Pleasant Ave,,Philadelphia,PA,19119,,,Open July to Thanksgiving,,,,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,14:00,18:00,,,,,,
121,FARMERS_MARKET,Germantown,Germantown Ave and Walnut Ln,,Philadelphia,PA,19144,,,"Open June 20th to Thanksgiving
In front of historic Wyck House",,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,14:00,18:00,,
122,FARMERS_MARKET,Germantown Kitchen Garden,215 E. Penn St,,Philadelphia,PA,19144,,,Open May 17th to September,,,,Yes,Yes,,Yes,,,,Yes,,,Yes,,,,,,,16:00,19:00,,,,,9:00,13:00
123,FARMERS_MARKET,East Falls ,Kelly Dr and Ridge Ave,,Philadelphia,PA,19129,,,"Open May 24th to end of October
Under Route 1 overpass",,,,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,10:00,14:00
124,FARMERS_MARKET,Chestnut Hill Farmers' Market,Winston Rd and Germantown Ave,,Philadelphia,PA,19118,,,Open May to November,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,9:30,13:30
125,FARMERS_MARKET,Weaver's Way Community Programs Farm Stand,8424 Germantown Ave,,Philadelphia,PA,19118,,,Open May to October,,,,,Yes,,Yes,,,Yes,,,,,,,,,15:00,18:00,,,,,,,,
126,FARMERS_MARKET,Broad and Mt. Vernon,Broad St and Mt. Vernon St ,Congregation Rodeph Shalom,Philadelphia,PA,19130,,,Open July to Thanksgiving,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,10:00,14:00,,,,,,,,,,,,
127,FARMERS_MARKET,Francisville,19th St and Fairmount Ave,,Philadelphia,PA,19130,,,Open June to October,,,,Yes,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,14:00,18:00,,
128,FARMERS_MARKET,Girard and 27th ,27th St and Girard Ave,,Philadelphia,PA,19130,,,Open June to Thanksgiving,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,10:00,13:00
129,FARMERS_MARKET,8th & Poplar,8th St and Poplar St,,Philadelphia,PA,19123,,,Open April 24th to end of November,,,,Yes,Yes,,Yes,,,,Yes,,,,,,,,,,15:00,18:00,,,,,,
130,FARMERS_MARKET,Liberty Lands Park,3rd St and Poplar St ,,Philadelphia,PA,19123,,,Open May 30th to November,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,15:00,19:00,,,,
